1925,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14.6,18.1,16.8,15.1,12.6,8.74,6.91,6.06,5.42,4.25,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1926,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17.40,28.6,20.8,16.2,17.7,13.3,11.7,9.64,8.05,6,4.88,4.6,4.17,3.93,3.79,3.47,3.47,3.38,3.21,2.94
1927,2.58,2.58,2.58,2.58,2.27,2.27,2.18,1.96,1.96,1.96,2.27,5.73,5.70,4.25,6.41,7.97,8.79,9.52,11.00,12.60,10.20,9.91,7.78,7.95,5.60,5.29,4.50,4.50,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1928,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.50,8.43,10.20,16.40,13.80,15.00,13.90,13.00,12.90,11.50,11.80,10.80,7.72,5.79,5.35,4.19,3.76,3.14,2.77,2.58,2.58,2.55,2.27,1.99
1929,2.05,2.05,2.05,2.05,2.05,2.05,2.05,2.23,2.23,2.35,2.88,3.30,3.30,2.99,4.01,8.59,15.10,10.40,15.20,19.10,16.50,11.70,7.86,6.32,5.53,4.80,3.78,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1930,NaN,NaN,NaN,NaN,NaN,NaN,3.37,2.67,2.71,2.68,2.58,2.83,3.55,4.65,6.17,10.10,16.00,16.00,15.30,18.50,12.80,11.60,8.41,7.38,6.44,5.71,5.25,4.84,4.48,4.23,3.92,3.94,3.70,3.49,3.27,3.14
1931,2.81,2.09,1.97,1.98,2.04,1.96,1.92,1.89,1.87,1.91,1.99,1.97,2.11,3.86,3.68,7.54,16.90,16.00,22.10,18.20,18.30,20.80,13.60,11.30,8.46,6.43,4.56,4.30,3.57,3.19,2.87,2.67,2.46,2.40,2.17,2.34
1932,1.83,1.80,1.69,1.68,1.68,1.56,1.56,1.56,1.66,1.81,1.90,2.29,2.48,2.40,9.73,11.20,12.90,9.67,12.20,16.00,11.20,10.20,6.63,5.66,6.38,5.14,4.20,3.78,3.28,2.96,2.77,2.51,2.77,2.28,2.12,1.97
1933,1.97,1.97,1.94,1.68,1.68,1.68,1.68,1.68,1.56,1.56,1.56,2.10,5.27,3.74,9.13,15.00,12.00,17.70,13.10,14.50,13.00,11.30,12.00,9.19,6.96,5.73,3.94,4.04,3.52,3.42,3.37,2.79,2.56,2.56,2.40,2.26
1934,1.87,2.06,2.25,1.94,2.31,1.96,1.75,1.75,1.75,1.75,1.90,2.40,2.33,2.66,6.95,12.30,21.90,16.60,15.60,13.80,17.60,14.40,12.20,7.82,7.68,6.91,5.24,4.12,3.49,3.33,2.77,2.40,2.25,2.02,2.10,1.83
